"","Code_REGIS","Nom_Partido","CodPartido","Votos"
"62",1010,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,5
"63",1010,"MOVIMIENTO GENTE NUEVA",1186,1
"64",1010,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,1
"65",1010,"PACTO HISTÓRICO",292,42
"66",1010,"PARTIDO CAMBIO RADICAL",3,30
"67",1010,"PARTIDO CENTRO DEMOCRÁTICO",11,670
"68",1010,"PARTIDO COMUNES",13,1
"69",1010,"PARTIDO CONSERVADOR COLOMBIANO",2,522
"70",1010,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,78
"71",1010,"PARTIDO LIBERAL COLOMBIANO",1,162
"72",1010,"PARTIDO NUEVO LIBERALISMO",19,3
"73",1010,"TARJETONES NO MARCADOS",998,79
"74",1010,"VOTO EN BLANCO",996,43
"75",1010,"VOTOS NULOS",997,56
"76",1013,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,615
"77",1013,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,181
"78",1013,"ESTAMOS LISTAS COLOMBIA",1130,67
"79",1013,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,224
"80",1013,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,12
"81",1013,"MOVIMIENTO GENTE NUEVA",1186,7
"82",1013,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,9
"83",1013,"MOVIMIENTO UNITARIO METAPOLITICO",1039,19
"84",1013,"PACTO HISTÓRICO",292,523
"85",1013,"PARTIDO CAMBIO RADICAL",3,381
"86",1013,"PARTIDO CENTRO DEMOCRÁTICO",11,1441
"87",1013,"PARTIDO COMUNES",13,13
"88",1013,"PARTIDO CONSERVADOR COLOMBIANO",2,1334
"89",1013,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,648
"90",1013,"PARTIDO LIBERAL COLOMBIANO",1,1491
"91",1013,"PARTIDO NUEVO LIBERALISMO",19,102
"92",1013,"TARJETONES NO MARCADOS",998,283
"93",1013,"VOTO EN BLANCO",996,605
"94",1013,"VOTOS NULOS",997,454
"95",1016,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,427
"96",1016,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,166
"97",1016,"ESTAMOS LISTAS COLOMBIA",1130,80
"98",1016,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,76
"99",1016,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,4
"100",1016,"MOVIMIENTO GENTE NUEVA",1186,4
"101",1016,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,4
"102",1016,"MOVIMIENTO UNITARIO METAPOLITICO",1039,1
"103",1016,"PACTO HISTÓRICO",292,168
"104",1016,"PARTIDO CAMBIO RADICAL",3,124
"105",1016,"PARTIDO CENTRO DEMOCRÁTICO",11,290
"106",1016,"PARTIDO COMUNES",13,4
"107",1016,"PARTIDO CONSERVADOR COLOMBIANO",2,754
"108",1016,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,774
"109",1016,"PARTIDO LIBERAL COLOMBIANO",1,245
"110",1016,"PARTIDO NUEVO LIBERALISMO",19,29
"111",1016,"TARJETONES NO MARCADOS",998,302
"112",1016,"VOTO EN BLANCO",996,325
"113",1016,"VOTOS NULOS",997,190
"114",1019,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,1745
"115",1019,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,156
"116",1019,"ESTAMOS LISTAS COLOMBIA",1130,53
"117",1019,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,230
"118",1019,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,9
"119",1019,"MOVIMIENTO GENTE NUEVA",1186,8
"120",1019,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,9
"121",1019,"MOVIMIENTO UNITARIO METAPOLITICO",1039,3
"122",1019,"PACTO HISTÓRICO",292,453
"123",1019,"PARTIDO CAMBIO RADICAL",3,301
"124",1019,"PARTIDO CENTRO DEMOCRÁTICO",11,1129
"125",1019,"PARTIDO COMUNES",13,18
"126",1019,"PARTIDO CONSERVADOR COLOMBIANO",2,765
"127",1019,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,6266
"128",1019,"PARTIDO LIBERAL COLOMBIANO",1,308
"129",1019,"PARTIDO NUEVO LIBERALISMO",19,64
"130",1019,"TARJETONES NO MARCADOS",998,573
"131",1019,"VOTO EN BLANCO",996,577
"132",1019,"VOTOS NULOS",997,634
"133",1022,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,87
"134",1022,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,22
"135",1022,"ESTAMOS LISTAS COLOMBIA",1130,12
"136",1022,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,43
"137",1022,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,1
"138",1022,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,2
"139",1022,"MOVIMIENTO UNITARIO METAPOLITICO",1039,5
"140",1022,"PACTO HISTÓRICO",292,51
"141",1022,"PARTIDO CAMBIO RADICAL",3,57
"142",1022,"PARTIDO CENTRO DEMOCRÁTICO",11,189
"143",1022,"PARTIDO COMUNES",13,1
"144",1022,"PARTIDO CONSERVADOR COLOMBIANO",2,940
"145",1022,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,103
"146",1022,"PARTIDO LIBERAL COLOMBIANO",1,834
"147",1022,"PARTIDO NUEVO LIBERALISMO",19,12
"148",1022,"TARJETONES NO MARCADOS",998,100
"149",1022,"VOTO EN BLANCO",996,126
"150",1022,"VOTOS NULOS",997,119
"151",1025,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,202
"152",1025,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,22
"153",1025,"ESTAMOS LISTAS COLOMBIA",1130,15
"154",1025,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,23
"155",1025,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,3
"156",1025,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,1
"157",1025,"MOVIMIENTO UNITARIO METAPOLITICO",1039,3
"158",1025,"PACTO HISTÓRICO",292,35
"159",1025,"PARTIDO CAMBIO RADICAL",3,49
"160",1025,"PARTIDO CENTRO DEMOCRÁTICO",11,511
"161",1025,"PARTIDO COMUNES",13,5
"162",1025,"PARTIDO CONSERVADOR COLOMBIANO",2,568
"163",1025,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,23
"164",1025,"PARTIDO LIBERAL COLOMBIANO",1,368
"165",1025,"PARTIDO NUEVO LIBERALISMO",19,6
"166",1025,"TARJETONES NO MARCADOS",998,222
"167",1025,"VOTO EN BLANCO",996,121
"168",1025,"VOTOS NULOS",997,165
"169",1028,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,112
"170",1028,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,15
"171",1028,"ESTAMOS LISTAS COLOMBIA",1130,22
"172",1028,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,34
"173",1028,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,1
"174",1028,"MOVIMIENTO UNITARIO METAPOLITICO",1039,1
"175",1028,"PACTO HISTÓRICO",292,77
"176",1028,"PARTIDO CAMBIO RADICAL",3,37
"177",1028,"PARTIDO CENTRO DEMOCRÁTICO",11,139
"178",1028,"PARTIDO COMUNES",13,53
"179",1028,"PARTIDO CONSERVADOR COLOMBIANO",2,199
"180",1028,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,384
"181",1028,"PARTIDO LIBERAL COLOMBIANO",1,1501
"182",1028,"PARTIDO NUEVO LIBERALISMO",19,2
"183",1028,"TARJETONES NO MARCADOS",998,126
"184",1028,"VOTO EN BLANCO",996,87
"185",1028,"VOTOS NULOS",997,111
"186",1031,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,850
"187",1031,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,78
"188",1031,"ESTAMOS LISTAS COLOMBIA",1130,30
"189",1031,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,156
"190",1031,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,12
"191",1031,"MOVIMIENTO GENTE NUEVA",1186,8
"192",1031,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,4
"193",1031,"MOVIMIENTO UNITARIO METAPOLITICO",1039,3
"194",1031,"PACTO HISTÓRICO",292,409
"195",1031,"PARTIDO CAMBIO RADICAL",3,97
"196",1031,"PARTIDO CENTRO DEMOCRÁTICO",11,1459
"197",1031,"PARTIDO COMUNES",13,5
"198",1031,"PARTIDO CONSERVADOR COLOMBIANO",2,635
"199",1031,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,276
"200",1031,"PARTIDO LIBERAL COLOMBIANO",1,2431
"201",1031,"PARTIDO NUEVO LIBERALISMO",19,47
"202",1031,"TARJETONES NO MARCADOS",998,331
"203",1031,"VOTO EN BLANCO",996,550
"204",1031,"VOTOS NULOS",997,327
"205",1034,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,113
"206",1034,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,44
"207",1034,"ESTAMOS LISTAS COLOMBIA",1130,3
"208",1034,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,19
"209",1034,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,1
"210",1034,"MOVIMIENTO GENTE NUEVA",1186,4
"211",1034,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,1
"212",1034,"MOVIMIENTO UNITARIO METAPOLITICO",1039,1
"213",1034,"PACTO HISTÓRICO",292,40
"214",1034,"PARTIDO CAMBIO RADICAL",3,29
"215",1034,"PARTIDO CENTRO DEMOCRÁTICO",11,610
"216",1034,"PARTIDO COMUNES",13,3
"217",1034,"PARTIDO CONSERVADOR COLOMBIANO",2,67
"218",1034,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,23
"219",1034,"PARTIDO LIBERAL COLOMBIANO",1,480
"220",1034,"PARTIDO NUEVO LIBERALISMO",19,7
"221",1034,"TARJETONES NO MARCADOS",998,98
"222",1034,"VOTO EN BLANCO",996,71
"223",1034,"VOTOS NULOS",997,78
"224",1035,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,3192
"225",1035,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,2180
"226",1035,"ESTAMOS LISTAS COLOMBIA",1130,92
"227",1035,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,743
"228",1035,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,110
"229",1035,"MOVIMIENTO GENTE NUEVA",1186,17
"230",1035,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,33
"231",1035,"MOVIMIENTO UNITARIO METAPOLITICO",1039,13
"232",1035,"PACTO HISTÓRICO",292,4049
"233",1035,"PARTIDO CAMBIO RADICAL",3,1220
"234",1035,"PARTIDO CENTRO DEMOCRÁTICO",11,2686
"235",1035,"PARTIDO COMUNES",13,94
"236",1035,"PARTIDO CONSERVADOR COLOMBIANO",2,7057
"237",1035,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,4344
"238",1035,"PARTIDO LIBERAL COLOMBIANO",1,7741
"239",1035,"PARTIDO NUEVO LIBERALISMO",19,266
"240",1035,"TARJETONES NO MARCADOS",998,1376
"241",1035,"VOTO EN BLANCO",996,2223
"242",1035,"VOTOS NULOS",997,1441
"243",1037,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,766
"244",1037,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,96
"245",1037,"ESTAMOS LISTAS COLOMBIA",1130,190
"246",1037,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,56
"247",1037,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,1
"248",1037,"MOVIMIENTO GENTE NUEVA",1186,2
"249",1037,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,2
"250",1037,"MOVIMIENTO UNITARIO METAPOLITICO",1039,4
"251",1037,"PACTO HISTÓRICO",292,216
"252",1037,"PARTIDO CAMBIO RADICAL",3,1263
"253",1037,"PARTIDO CENTRO DEMOCRÁTICO",11,541
"254",1037,"PARTIDO COMUNES",13,5
"255",1037,"PARTIDO CONSERVADOR COLOMBIANO",2,714
"256",1037,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,3633
"257",1037,"PARTIDO LIBERAL COLOMBIANO",1,2853
"258",1037,"PARTIDO NUEVO LIBERALISMO",19,10
"259",1037,"TARJETONES NO MARCADOS",998,356
"260",1037,"VOTO EN BLANCO",996,120
"261",1037,"VOTOS NULOS",997,434
"262",1039,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,234
"263",1039,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,16
"264",1039,"ESTAMOS LISTAS COLOMBIA",1130,3
"265",1039,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,16
"266",1039,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,2
"267",1039,"MOVIMIENTO GENTE NUEVA",1186,1
"268",1039,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,15
"269",1039,"PACTO HISTÓRICO",292,34
"270",1039,"PARTIDO CAMBIO RADICAL",3,32
"271",1039,"PARTIDO CENTRO DEMOCRÁTICO",11,748
"272",1039,"PARTIDO CONSERVADOR COLOMBIANO",2,430
"273",1039,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,82
"274",1039,"PARTIDO LIBERAL COLOMBIANO",1,83
"275",1039,"PARTIDO NUEVO LIBERALISMO",19,2
"276",1039,"TARJETONES NO MARCADOS",998,97
"277",1039,"VOTO EN BLANCO",996,67
"278",1039,"VOTOS NULOS",997,104
"279",1040,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,105
"280",1040,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,40
"281",1040,"ESTAMOS LISTAS COLOMBIA",1130,4
"282",1040,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,12
"283",1040,"MOVIMIENTO GENTE NUEVA",1186,1
"284",1040,"PACTO HISTÓRICO",292,36
"285",1040,"PARTIDO CAMBIO RADICAL",3,24
"286",1040,"PARTIDO CENTRO DEMOCRÁTICO",11,122
"287",1040,"PARTIDO CONSERVADOR COLOMBIANO",2,317
"288",1040,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,8
"289",1040,"PARTIDO LIBERAL COLOMBIANO",1,560
"290",1040,"PARTIDO NUEVO LIBERALISMO",19,4
"291",1040,"TARJETONES NO MARCADOS",998,153
"292",1040,"VOTO EN BLANCO",996,77
"293",1040,"VOTOS NULOS",997,70
"294",1043,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,2378
"295",1043,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,327
"296",1043,"ESTAMOS LISTAS COLOMBIA",1130,194
"297",1043,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,420
"298",1043,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,64
"299",1043,"MOVIMIENTO GENTE NUEVA",1186,10
"300",1043,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,22
"301",1043,"MOVIMIENTO UNITARIO METAPOLITICO",1039,23
"302",1043,"PACTO HISTÓRICO",292,1550
"303",1043,"PARTIDO CAMBIO RADICAL",3,1134
"304",1043,"PARTIDO CENTRO DEMOCRÁTICO",11,1428
"305",1043,"PARTIDO COMUNES",13,145
"306",1043,"PARTIDO CONSERVADOR COLOMBIANO",2,5071
"307",1043,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,509
"308",1043,"PARTIDO LIBERAL COLOMBIANO",1,1537
"309",1043,"PARTIDO NUEVO LIBERALISMO",19,152
"310",1043,"TARJETONES NO MARCADOS",998,787
"311",1043,"VOTO EN BLANCO",996,1269
"312",1043,"VOTOS NULOS",997,997
"313",1046,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,245
"314",1046,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,18
"315",1046,"ESTAMOS LISTAS COLOMBIA",1130,4
"316",1046,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,28
"317",1046,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,1
"318",1046,"MOVIMIENTO GENTE NUEVA",1186,1
"319",1046,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,3
"320",1046,"PACTO HISTÓRICO",292,37
"321",1046,"PARTIDO CAMBIO RADICAL",3,18
"322",1046,"PARTIDO CENTRO DEMOCRÁTICO",11,160
"323",1046,"PARTIDO CONSERVADOR COLOMBIANO",2,1304
"324",1046,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,15
"325",1046,"PARTIDO LIBERAL COLOMBIANO",1,541
"326",1046,"PARTIDO NUEVO LIBERALISMO",19,7
"327",1046,"TARJETONES NO MARCADOS",998,41
"328",1046,"VOTO EN BLANCO",996,75
"329",1046,"VOTOS NULOS",997,67
"330",1049,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,21057
"331",1049,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,5696
"332",1049,"ESTAMOS LISTAS COLOMBIA",1130,2099
"333",1049,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,6047
"334",1049,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,486
"335",1049,"MOVIMIENTO GENTE NUEVA",1186,214
"336",1049,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,314
"337",1049,"MOVIMIENTO UNITARIO METAPOLITICO",1039,172
"338",1049,"PACTO HISTÓRICO",292,13070
"339",1049,"PARTIDO CAMBIO RADICAL",3,6219
"340",1049,"PARTIDO CENTRO DEMOCRÁTICO",11,25246
"341",1049,"PARTIDO COMUNES",13,280
"342",1049,"PARTIDO CONSERVADOR COLOMBIANO",2,17225
"343",1049,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,3738
"344",1049,"PARTIDO LIBERAL COLOMBIANO",1,16980
"345",1049,"PARTIDO NUEVO LIBERALISMO",19,1708
"346",1049,"TARJETONES NO MARCADOS",998,4361
"347",1049,"VOTO EN BLANCO",996,13111
"348",1049,"VOTOS NULOS",997,5693
"349",1052,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,200
"350",1052,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,23
"351",1052,"ESTAMOS LISTAS COLOMBIA",1130,3
"352",1052,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,28
"353",1052,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,4
"354",1052,"PACTO HISTÓRICO",292,27
"355",1052,"PARTIDO CAMBIO RADICAL",3,46
"356",1052,"PARTIDO CENTRO DEMOCRÁTICO",11,171
"357",1052,"PARTIDO COMUNES",13,1
"358",1052,"PARTIDO CONSERVADOR COLOMBIANO",2,263
"359",1052,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,79
"360",1052,"PARTIDO LIBERAL COLOMBIANO",1,1882
"361",1052,"PARTIDO NUEVO LIBERALISMO",19,7
"362",1052,"TARJETONES NO MARCADOS",998,161
"363",1052,"VOTO EN BLANCO",996,57
"364",1052,"VOTOS NULOS",997,99
"365",1055,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,110
"366",1055,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,87
"367",1055,"ESTAMOS LISTAS COLOMBIA",1130,4
"368",1055,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,42
"369",1055,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,2
"370",1055,"MOVIMIENTO GENTE NUEVA",1186,2
"371",1055,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,2
"372",1055,"MOVIMIENTO UNITARIO METAPOLITICO",1039,5
"373",1055,"PACTO HISTÓRICO",292,61
"374",1055,"PARTIDO CAMBIO RADICAL",3,63
"375",1055,"PARTIDO CENTRO DEMOCRÁTICO",11,714
"376",1055,"PARTIDO COMUNES",13,6
"377",1055,"PARTIDO CONSERVADOR COLOMBIANO",2,614
"378",1055,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,168
"379",1055,"PARTIDO LIBERAL COLOMBIANO",1,883
"380",1055,"PARTIDO NUEVO LIBERALISMO",19,14
"381",1055,"TARJETONES NO MARCADOS",998,268
"382",1055,"VOTO EN BLANCO",996,224
"383",1055,"VOTOS NULOS",997,149
"384",1058,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,406
"385",1058,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,108
"386",1058,"ESTAMOS LISTAS COLOMBIA",1130,35
"387",1058,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,168
"388",1058,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,11
"389",1058,"MOVIMIENTO GENTE NUEVA",1186,7
"390",1058,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,6
"391",1058,"MOVIMIENTO UNITARIO METAPOLITICO",1039,2
"392",1058,"PACTO HISTÓRICO",292,243
"393",1058,"PARTIDO CAMBIO RADICAL",3,234
"394",1058,"PARTIDO CENTRO DEMOCRÁTICO",11,3408
"395",1058,"PARTIDO COMUNES",13,1
"396",1058,"PARTIDO CONSERVADOR COLOMBIANO",2,957
"397",1058,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,298
"398",1058,"PARTIDO LIBERAL COLOMBIANO",1,819
"399",1058,"PARTIDO NUEVO LIBERALISMO",19,57
"400",1058,"TARJETONES NO MARCADOS",998,378
"401",1058,"VOTO EN BLANCO",996,448
"402",1058,"VOTOS NULOS",997,350
"403",1061,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,89
"404",1061,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,13
"405",1061,"ESTAMOS LISTAS COLOMBIA",1130,3
"406",1061,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,33
